state,SD_front_band,SD_left_band,SD_right_band,SD_back_band,optimal_value,best_action,rows_in_data
0,near,too close,near,near,-29.999115,Move-Forward,0
1,near,too close,near,clear,-29.999115,Move-Forward,0
2,near,too close,clear,near,-29.999115,Move-Forward,0
3,near,too close,clear,clear,-29.999115,Move-Forward,0
4,near,close,near,near,-29.999115,Move-Forward,0
5,near,close,near,clear,-29.999115,Move-Forward,0
6,near,close,clear,near,-21.04824,Sharp-Right-Turn,168
7,near,close,clear,clear,-21.711547,Sharp-Right-Turn,416
8,near,on track,near,near,-29.999115,Move-Forward,0
9,near,on track,near,clear,-29.999115,Move-Forward,0
10,near,on track,clear,near,-18.812414,Sharp-Right-Turn,418
11,near,on track,clear,clear,-22.194833,Sharp-Right-Turn,969
12,near,far,near,near,-29.999115,Move-Forward,0
13,near,far,near,clear,-29.999115,Move-Forward,0
14,near,far,clear,near,-20.554899,Sharp-Right-Turn,14
15,near,far,clear,clear,-25.467316,Sharp-Right-Turn,87
16,near,lost,near,near,-29.999115,Move-Forward,0
17,near,lost,near,clear,-29.999115,Move-Forward,0
18,near,lost,clear,near,-29.999115,Move-Forward,0
19,near,lost,clear,clear,-26.468798,Sharp-Right-Turn,16
20,mid,too close,near,near,-29.999115,Move-Forward,0
21,mid,too close,near,clear,-29.999115,Move-Forward,0
22,mid,too close,clear,near,-29.999115,Move-Forward,0
23,mid,too close,clear,clear,-29.999115,Move-Forward,0
24,mid,close,near,near,-29.999115,Move-Forward,0
25,mid,close,near,clear,-29.999115,Move-Forward,0
26,mid,close,clear,near,-9.069594,Move-Forward,89
27,mid,close,clear,clear,-10.291248,Move-Forward,386
28,mid,on track,near,near,-29.999115,Move-Forward,0
29,mid,on track,near,clear,-29.999115,Move-Forward,0
30,mid,on track,clear,near,-8.902941,Move-Forward,461
31,mid,on track,clear,clear,-10.131108,Move-Forward,1092
32,mid,far,near,near,-29.999115,Move-Forward,0
33,mid,far,near,clear,-29.999115,Move-Forward,0
34,mid,far,clear,near,-29.999115,Move-Forward,1
35,mid,far,clear,clear,-9.834465,Move-Forward,185
36,mid,lost,near,near,-29.999115,Move-Forward,0
37,mid,lost,near,clear,-29.999115,Move-Forward,0
38,mid,lost,clear,near,-29.999115,Move-Forward,0
39,mid,lost,clear,clear,-11.160348,Slight-Left-Turn,10
40,far,too close,near,near,-29.999115,Move-Forward,0
41,far,too close,near,clear,-29.999115,Move-Forward,0
42,far,too close,clear,near,-29.999115,Move-Forward,0
43,far,too close,clear,clear,-29.999115,Move-Forward,0
44,far,close,near,near,-29.999115,Move-Forward,0
45,far,close,near,clear,-29.999115,Move-Forward,0
46,far,close,clear,near,-11.025297,Slight-Right-Turn,55
47,far,close,clear,clear,-10.456415,Move-Forward,342
48,far,on track,near,near,-29.999115,Move-Forward,0
49,far,on track,near,clear,-29.999115,Move-Forward,0
50,far,on track,clear,near,-7.338201,Move-Forward,236
51,far,on track,clear,clear,-8.265886,Move-Forward,377
52,far,far,near,near,-29.999115,Move-Forward,0
53,far,far,near,clear,-29.999115,Move-Forward,0
54,far,far,clear,near,-29.999115,Move-Forward,1
55,far,far,clear,clear,-13.33635,Slight-Left-Turn,130
56,far,lost,near,near,-29.999115,Move-Forward,0
57,far,lost,near,clear,-29.999115,Move-Forward,0
58,far,lost,clear,near,-29.999115,Move-Forward,0
59,far,lost,clear,clear,-9.547592,Slight-Left-Turn,3
